"ISSN";"Titulo";"Area";"Estrato"
"1983-6422";"A FÍSICA NA ESCOLA (IMPRESSO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1557-8100";"A JOURNAL OF INTEGRATIVE BIOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2175-2516";"A MARGEM: REVISTA ELETRÔNICA DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1676-0336";"A TERCEIRA IDADE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1516-3210";"A&C. REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL (IMPRESSO)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2448-5764";"A&H";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2362-6089";"A&P CONTINUIDAD";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0094-6354";"A.A.N.A. JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1559-7776";"AACN ADVANCED CRITICAL CARE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1232-1966";"AAEM. ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"0149-1423";"AAPG BULLETIN (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1522-1059";"AAPS PHARMSCI";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1530-9932";"AAPS PHARMSCITECH";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0747-0088";"ABA JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0213-6252";"ABACO (GIJÓN)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0001-3072";"ABACUS (SYDNEY. PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2316-9451";"ABAKÓS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"0102-6720";"ABCD. ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2318-4965";"ABCS HEALTH SCIENCES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2357-8114";"ABCS HEALTH SCIENCES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1980-4814";"ABCUSTOS (SÃO LEOPOLDO, RS)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"0942-8925";"ABDOMINAL IMAGING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2366-0058";"ABDOMINAL RADIOLOGY (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2596-0873";"ABEÁFRICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2238-3026";"ABEHACHE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2471-0938";"AB-ORIGINAL. JOURNAL OF INDIGENOUS STUDIES AND FIRST NATIONS AND FIRST PEOPLES' CULTURES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1984-2090";"ABRIL (NITERÓI)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2014-8534";"ABRIU: TEXTUALITY STUDIES ON BRAZIL, GALICIA AND PORTUGAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1807-9792";"ABSTRACTA : LINGUAGEM, MENTE E AÇÃO (NITERÓI)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1012-8255";"ACADEMIA (CARACAS)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2241-1402";"ACADEMIA (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2315-7739";"ACADEMIA JOURNAL OF AGRICULTURAL RESEARCH";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1069-6563";"ACADEMIC EMERGENCY MEDICINE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2281-3993";"ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2079-3456";"ACADEMIC JOURNAL OF SURINAME";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1040-2446";"ACADEMIC MEDICINE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1876-2859";"ACADEMIC PEDIATRICS (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1042-9670";"ACADEMIC PSYCHIATRY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1076-6332";"ACADEMIC RADIOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2318-1494";"ACADÊMICO MUNDO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1631-0691";"ACADEMIE DES SCIENCES. COMPTES RENDUS. BIOLOGIES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1806-9495";"ACADEMUS: REVISTA CIENTÍFICA DA SAÚDE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1528-2686";"ACADEMY OF ENTREPRENEURSHIP JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2151-6561";"ACADEMY OF MANAGEMENT ANNUAL MEETING PROCEEDINGS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1095-6298";"ACADEMY OF MARKETING STUDIES JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1939-6104";"ACADEMY OF STRATEGIC MANAGEMENT JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2358-6559";"ACANTO EM REVISTA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2238-0701";"AÇÃO MIDIÁTICA - ESTUDOS EM COMUNICAÇÃO, SOCIEDADE E CULTURA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"0132-8077";"ACARINA: RUSSIAN JOURNAL OF ACAROLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0044-586X";"ACAROLOGIA (LA VARENNE-SUR-SEINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0001-4575";"ACCIDENT ANALYSIS AND PREVENTION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0810-5391";"ACCOUNTING AND FINANCE (PARKVILLE. PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0963-9284";"ACCOUNTING EDUCATION: AN INTERNATIONAL JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0155-9982";"ACCOUNTING FORUM (ADELAIDE. PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0951-3574";"ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0001-4842";"ACCOUNTS OF CHEMICAL RESEARCH";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0949-1775";"ACCREDITATION AND QUALITY ASSURANCE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2358-5587";"ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2237-8723";"ACERVO: REVISTA DO ARQUIVO NACIONAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2319-0698";"ACESSO LIVRE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2326-3253";"ACG CASE REPORTS JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0329-9147";"ACHERONTA (EN LÍNEA)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2318-5724";"ACHIOTE.COM ¿ REVISTA ELETRÔNICA DE MODA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"0889-325X";"ACI MATERIALS JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0889-3241";"ACI STRUCTURAL JOURNAL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0360-0300";"ACM COMPUTING SURVEYS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2153-2184";"ACM INROADS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1550-4832";"ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1936-7228";"ACM TRANSACTIONS ON ACCESSIBLE COMPUTING (TACCESS)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1544-3566";"ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1556-4665";"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0734-2071";"ACM TRANSACTIONS ON COMPUTER SYSTEMS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1946-6226";"ACM TRANSACTIONS ON COMPUTING EDUCATION";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1084-4309";"ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1539-9087";"ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0730-0301";"ACM TRANSACTIONS ON GRAPHICS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1046-8188";"ACM TRANSACTIONS ON INFORMATION SYSTEMS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1533-5399";"ACM TRANSACTIONS ON INTERNET TECHNOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1556-4681";"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2376-3639";"ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1551-6857";"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2471-2566";"ACM TRANSACTIONS ON PRIVACY AND SECURITY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1049-331X";"ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1559-1131";"ACM TRANSACTIONS ON THE WEB";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2576-6422";"ACS APPLIED BIO MATERIALS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2574-0962";"ACS APPLIED ENERGY MATERIALS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1944-8252";"ACS APPLIED MATERIALS & INTERFACES (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"4283-4293";"ACS APPLIED NANO MATERIALS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2373-9878";"ACS BIOMATERIALS SCIENCE & ENGINNERING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2155-5435";"ACS CATALYSIS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2374-7951";"ACS CENTRAL SCIENCE (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1554-8929";"ACS CHEMICAL BIOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1554-8937";"ACS CHEMICAL BIOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1948-7193";"ACS CHEMICAL NEUROSCIENCE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2156-8952";"ACS COMBINATORIAL SCIENCE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2472-3452";"ACS EARTH AND SPACE CHEMISTRY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2373-8227";"ACS INFECTIOUS DISEASES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2161-1653";"ACS MACRO LETTERS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1948-5875";"ACS MED CHEM LETT";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1936-0851";"ACS NANO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2470-1343";"ACS OMEGA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2330-4022";"ACS PHOTONICS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2379-3694";"ACS SENSORS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2168-0485";"ACS SUSTAINABLE CHEMISTRY & ENGINEERING";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2161-5063";"ACS SYNTHETIC BIOLOGY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0906-4710";"ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0120-2812";"ACTA AGRONOMICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1809-4392";"ACTA AMAZONICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1677-7298";"ACTA AMBIENTAL CATARINENSE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0001-5172";"ACTA ANAESTHESIOLOGICA SCANDINAVICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0353-5150";"ACTA ANALYTICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1234-950X";"ACTA ANGIOLOGICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2358-2375";"ACTA APICOLA BRASILICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"0167-8019";"ACTA APPLICANDAE MATHEMATICAE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0001-5202";"ACTA ARACHNOLOGICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0065-101X";"ACTA ARCHAEOLOGICA (PAPIRFORM)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0094-5765";"ACTA ASTRONAUTICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"0001-5237";"ACTA ASTRONOMICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"1672-9145";"ACTA BIOCHIMICA ET BIOPHYSICA SINICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"1726-569X";"ACTA BIOETHICA (EN LÍNEA)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0120-548X";"ACTA BIOLOGICA COLOMBIANA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1742-7061";"ACTA BIOMATERIALIA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2236-0867";"ACTA BIOMEDICA BRASILIENSIA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0325-2957";"ACTA BIOQUÍMICA CLÍNICA LATINOAMERICANA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0001-5342";"ACTA BIOTHEORETICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1677-941X";"ACTA BOTANICA BRASILICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2526-4338";"ACTA BRASILIENSIS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"2526-432X";"ACTA BRASILIENSIS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0001-5385";"ACTA CARDIOLOGICA (IMPRIMÉ)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"0583-6050";"ACTA CARSOLOGICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1318-0207";"ACTA CHIMICA SLOVENICA (PRINT ED.)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1508-1109";"ACTA CHIROPTEROLOGICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1733-5329";"ACTA CHIROPTEROLOGICA (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"1233-2356";"ACTA CHROMATOGRAPHICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"0253-7338";"ACTA CIENCIA INDICA. CHEMISTRY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1984-0918";"ACTA CIENTÍFICA (PATOS DE MINAS)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1519-9800";"ACTA CIENTÍFICA. CIÊNCIAS HUMANAS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"1678-2674";"ACTA CIRÚRGICA BRASILEIRA (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1909-9711";"ACTA COLOMBIANA DE PSICOLOGIA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0188-8145";"ACTA COMPORTAMENTALIA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2053-2733";"ACTA CRYSTALLOGRAPHICA A - FOUNDATION AND ADVANCES";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2052-5206";"ACTA CRYSTALLOGRAPHICA SECTION B";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
"2053-2296";"ACTA CRYSTALLOGRAPHICA SECTION C: STRUCTURAL CHEMISTRY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2056-9890";"ACTA CRYSTALLOGRAPHICA SECTION E, CRYSTALLOGRAPHIC COMMUNICATIONS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0108-7673";"ACTA CRYSTALLOGRAPHICA. SECTION A, FOUNDATIONS OF CRYSTALLOGRAPHY";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2053-230X";"ACTA CRYSTALLOGRAPHICA. SECTION F: STRUCTURAL BIOLOGY COMMUNICATIONS";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"0001-5547";"ACTA CYTOLOGICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1938-2650";"ACTA CYTOLOGICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0001-5555";"ACTA DERMATO-VENEREOLOGICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"1330-027X";"ACTA DERMATOVENEROLOGICA CROATICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"0940-5429";"ACTA DIABETOLOGICA (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"2065-1430";"ACTA DIDACTICA NAPOCENSIA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0374-1036";"ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1437-9546";"ACTA ETHOLOGICA (INTERNET)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0104-7795";"ACTA FISIATRICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"2317-0190";"ACTA FISIÁTRICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A3"
"0300-9033";"ACTA GASTROENTEROLÓGICA LATINOAMERICANA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"1980-5772";"ACTA GEOGRÁFICA (UFRR)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0001-5709";"ACTA GEOLOGICA POLONICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1895-6572";"ACTA GEOPHYSICA (DRUK)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1861-1125";"ACTA GEOTECHNICA (BERLIN. PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A2"
"0001-5792";"ACTA HAEMATOLOGICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"1827-9635";"ACTA HERPETOLOGICA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"0065-1281";"ACTA HISTOCHEMICA (PRINT)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A4"
"2406-6168";"ACTA HORTICULTURAE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0567-7572";"ACTA HORTICULTURAE";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"0137-1592";"ACTA ICHTHYOLOGICA ET PISCATORIA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2316-4093";"ACTA IGUAZU";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B4"
"2221-870X";"ACTA IMEKO";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B2"
"2448-6469";"ACTA LATINOAMERICANA DE MATEMATICA EDUCATIVA";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B3"
"2179-975X";"ACTA LIMNOLOGICA BRASILIENSIA (ONLINE)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"0716-0909";"ACTA LITERARIA (IMPRESA)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"B1"
"1359-6454";"ACTA MATERIALIA (OXFORD)";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"A1"
