Título da Obra;isbn;qualis
Políticas Públicas e desenvolvimento nos municípios de Pelotas e Rio Grande;9790000000000 ;L2
Políticas públicas e hidrelétricas: no Sul do Brasil.;9788571929678 ;L2
Políticas públicas: estudos e casos.;9790000000000 ;L2
Políticas Públicas: Monitoramento, Avaliação, Controle e Participação Social no Governo do Rio Grande do Sul;9788538602750 ;L2
Políticas setoriais e meio ambiente;9788540202627 ;L1
Por que gritamos golpe? Para entender o impeachment e a crise política no Brasil;9788575595008 ;L2
Por uma integração ampliada da América do Sul no século XXI. XII Congresso Internacional FOMERCO;9790000000000 ;L2
Por uma sociedade mais transparente: participação e controle social no Brasil;9790000000000 ;L1
Porto Alegre: transformações na ordem urbana;9790000000000 ;L4
Portos e Comércio Exterior;9788522512935 ;L2
Portugal e as migrações da Europa do Sul para a América do Sul;9790000000000 ;L3
Pós-estruturalismo e teoria do discurso: em torno de Ernesto Laclau.;9790000000000 ;L2
Potencial de agricultura sustentável na Bahia;9790000000000 ;L1
Povos e comunidades tradicionais: nova cartografia social;9788578831806 ;L3
Povos tradicionais em colisão com estratégias empresariais no Maranhão e Pará;9790000000000 ;L3
Povos Tradicionais no Arquipélago do Marajó e Políticas de Ordenamento Territorial e Ambiental;989000000000 ;L1
POWER, REALISM AND CONSTRUCTIVISM;9780000000000 ;L4
PPA 2012 - 2015 : experimentalismo institucional e resistência burocrática;9788578112431 ;L2
PRACTICAL AUTHORITY: AGENCY AND INSTITUTIONAL CHANGE IN BRAZILIAN WATER POLITICS;9780199985272 ;L4
Pragmatismo Jurídico: Fundamentos e Métodos de uma doutrina interdisciplinar (estudos em homenagem ao Prof. George Browne Rego).;9790000000000 ;L1
Práticas e Debates na Formação de Professores de Sociologia/Ciências Sociais;9788578462284 ;L3
PROCESOS POLÍTICOS Y ELECTORALES EN AMÉRICA LATINA (2010-2013);9790000000000 ;L3
Processos identitários e a produção da etnicidade.;979000000000 ;L2
PRODUÇÃO LEGISLATIVA NO BRASIL: VISÃO SISTÊMICA E ESTRATÉGICA NO PRESIDENCIALISMO DE COALIZÃO;9790000000000 ;L1
Produtividade no Brasil: desempenho e determinantes;9790000000000 ;L3
PROENF PROGRAMA DE ATUALIZAÇÃO EM ENFERMAGEM: SAÚDE DO ADULTO;9790000000000 ;L1
PROENF Programa de Atualização em Enfermagem: Saúde do Adulto - ciclo 10/1;9790000000000 ;L1
PROENF Programa de Atualização em Enfermagem: Saúde do Adulto - ciclo 10/2;9790000000000 ;L1
PROENF Programa de Atualização em Enfermagem: Saúde do Adulto - ciclo 10/3;9790000000000 ;L1
PROENF Programa de Atualização em Enfermagem: Saúde do Adulto - ciclo 10/4;9790000000000 ;L1
PROENF PROGRAMA DE ATUALIZAÇÃO EM ENFERMAGEM: SAÚDE DO ADULTO - CICLO 9;9790000000000 ;L1
PROENF PROGRAMA DE ATUALIZAÇÃO EM ENFERMAGEM: SAÚDE DO ADULTO - CICLO 9;9790000000000 ;L1
PROENF PROGRAMA DE ATUALIZAÇÃO EM ENFERMAGEM: SAÚDE DO ADULTO - CICLO 9;9790000000000 ;L1
Professor Oliveiros Ferreira;9788531415326 ;L1
Progress in International Business Research;9781784414221 ;L3
Promoción de la alfabetización académica en la carrera de Ciencia Política;9790000000000 ;L2
Protecting Labour Rights in a Multi-polar Supply Chain and Mobile Global Economy;9790000000000 ;L3
Providing Peacekeepers: The Politics, Challenges, and Future of United Nations Peacekeeping Contributions;9780199672 ;L4
PSDB e PT em eleições nacionais: fatores geográficos, políticos e socioeconômicos na polarização partidária no Brasil (1994 e 2014);9788591519521 ;L4
PT PIAUI 1980-2006: TRAJETÓRIA E MUDANÇA NA ESTRUTURA ORGANIZACIONAL;9790000000000 ;L1
Qual Democracia para a América latina ? Capital social e empoderamento são a resposta ?;9790000000000 ;L2
Qualidade da Democracia em Perspectiva Comparada na América Latina.;9790000000000 ;L2
Race, Politics, and Education in Brazil;9780000000000 ;L3
Reaching Across the Pacific: Latin America and Asia in the New Century;9780000000000 ;L2
REALIDADE E PERSPECTIVAS DO TRABALHO DECENTE NO ESTADO DE SÃO PAULO;9780000000000 ;L1
Redirecionamento da Política Externa: uma análise comparativa entre os Governos Castello Branco e Fernando Collor;8579392306 ;L2
Reflexões da Economia política para um Direito econômico brasileiro;9790000000000 ;L1
Reflexões de Economistas Baianos 2016;9788562004100 ;L1
Reflexões sobre a Convenção do Direito do Mar;9790000000000 ;L3
Reforma Política Democrática;9790000000000 ;L1
REFORMA POLÍTICA DEMOCRÁTICA temas, atores e desafios;9790000000000 ;L1
REFORMA POLÍTICA E COLIGAÇÕES ELEITORAIS;9790000000000 ;L1
Reformas las organizaciones de partidos en America Latina (1978 - 2015);9786124713408 ;L3
Refúgios e migrações: práticas e narrativas;9788599608142 ;L2
Regional Organization and social policy in Europe and latina America - A space for social citzenship?;9781137490346 ;L3
Regional Organizations, Conflict Resolution and Mediation in South America.;9783319475301 ;L3
Relações Brasil-Alemanha;9790000000000 ;L1
RELAÇÕES GOVERNAMENTAIS: INTERAGINDO DEMOCRATICAMENTE NO PROCESSO DECISÓRIO BRASILEIRO;8539903431 ;L1
Relações Internacionais Cibernéticas (CiberRI): oportunidades e desafios para os Estudos Estratégicos e de Segurança Internacional.;9788541506335 ;L3
Relações Internacionais Contemporâneas;9788561868703 ;L1
Relações internacionais contemporâneas :novos protagonistas e novas conjunturas;9790000000000 ;L4
Relações Internacionais Contemporâneas 2012/2: Estudos de Caso em Política Externa e de Segurança.;9790000000000 ;L1
Relaçoes Internacionais Contemporâneas: teorias e desafios;9790000000000 ;L2
Relações Internacionais Contemporâneas: Visões Brasileiras;9788581922317 ;L2
RELAÇÕES INTERNACIONAIS DA AMÉRICA LATINA: DE 1930 AOS NOSSOS DIAS;9790000000000 ;L3
Relações Internacionais da Ásia e da África;9790000000000 ;L1
Relações Internacionais e Movimentos Anti-Sistêmicos no Sistema-Mundo Contemporâneo;978856879301 ;L1
Relações Internacionais em Debate - Volume 1;9790000000000 ;L1
Relações Internacionais. Olhares cruzados;9790000000000 ;L3
Releitura dos Acordos da OMC como Interpretados pelo Órgão de Apelação.;9788566977 ;L2
Religião e Relações Internacionais: dos debates teóricos ao papel do cristianismo e do Islã;9788536258584 ;L1
Religião, Cultura e Espaço Público;9788576420330 ;L2
Religion in the Neoliberal Age: Political Economy and Modes of Governance;9780000000000 ;L3
Repensando a Cooperação Internacional para o Desenvolvimento;9790000000000 ;L2
Repensando la integración y las integraciones;9790000000000 ;L2
REPRESENTAÇÃO ALÉM DAS ELEIÇÕES: REPENSANDO AS FRONTEIRAS ENTRE ESTADO E SOCIEDADE;9790000000000 ;L3
REPRESENTACIÓN Y PARTICIPACIÓN DEMOCRÁTICA EN LOS ESPACIOS LOCALIS;9789872677664 ;L2
REPRESENTAÇÕES SOCIAIS EM MOVIMENTO - PSICOLOGIA DO ATIVISMO POLITICO;9788574309897 ;L2
República, democracia e desenvolvimento - contribuições ao Estado brasileiro;9790000000000 ;L2
Residuos;9880000000000 ;L1
Resilience of regionalism in Latin America and the Caribbean;9780000000000 ;L2
Resistência e fé: Narrativas de um quilombola;9788599274354 ;L3
RESPONSIVIDADE DEMOCRÁTICA NO BRASIL DE LULA E NA ARGENTINA DOS KIRCHNER;9790000000000 ;L2
Rethinking Foreign Policy;9780000000000 ;L2
Retratos da classe política brasileira: estudos de Ciência Política;9790000000000 ;L1
Reunión Internacional sobre Formación de las Elites : enfoques y avances de investigación en el estudio relacional de las desigualdades;9790000000000 ;L2
Revisitando as frentes de expansão - Coleção Aula inaugurais;9788599274491 ;L1
Revolução Coreana;9790000000000 ;L1
REVOLUÇÕES E REGIMES MARXISTAS: RUPTURAS, EXPERIÊNCIAS E IMPACTO INTERNACIONAL;9790000000000 ;L1
"RIBEIRO, G. L. (Org.) ; VIOLA, Eduardo (Org.) ; DWYER, T (Org.) ; BORGES, A. (Org.) . Desafios Sociais, Políticos e Culturais dos BRICS. 1. ed. Sao Paulo: ANPOCS, 2014. v. 1. 268p";9790000000000 ;L4
RURAL, AGRÁRIO, NAÇÃO REFLEXÕES SOBRE POLÍTICAS E PROCESSOS DE DESENVOLVIMENTO NA ERA DA GLOBALIZAÇÃO;9790000000000 ;L3
São Paulo in the twenty-first century: spaces, heterogeneities, inequalities;9781138655607 ;L4
Saúde e políticas sociais no Rio de Janeiro;9788575414750 ;L2
SEgurança Cidadã;9790000000000 ;L1
Segurança Contemporânea;9789896930547 ;L2
SEGURANÇA E DEFESA CIBERNÉTICA DA FRONTEIRA FÍSICA AOS MUROS VIRTUAIS;978854150459 ;L3
Segurança, Liberdade e Política: Pensar a Escola de Copenhaga em Português;9790000000000 ;L3
Sem diplomacia: Um mundo de equilíbrios precários;9790000000000 ;L2
SÉRIE EDUCAÇÃO PROFISSIONAL-SMS-FUNDAMENTOS EM SEGURANÇA, MEIO AMBIENTE E SAÚDE;9790000000000 ;L1
SISTEMA INTERNACIONAL DE HEGEMONIA CONSERVADORA: GOVERNANÇA GLOBAL E DEMOCRACIA NA ERA DA CRISE CLIMATICA;9790000000000 ;L1
Sistema político brasileiro: uma introdução;9790000000000 ;L3
Sistema político brasileiro: uma introdução (terceira edição);9790000000000 ;L3
Sob o céu das valquírias: as concepções de heroísmo e honra dos pilotos de caça na grande guerra (1914-18);9790000000000 ;L2
Sobe e Desce: Explicando a Cooperação em Defesa na América do Sul.;9790000000000 ;L4
Social Movement Dynamics: New Perspectives on Theory Research from Latin America;9780000000000 ;L2
Social Movements in Latin America: New Theoretical Trends and Lessons From A Mobilized Region;9780000000000 ;L2
Sociedad y servicios ecosistémicos - Perspectivas desde la minería, los megaprojectos y la educacion ambiental;9790000000000 ;L2
Sociedade - Política - Estudos Estratégicos;9790000000000 ;L1
Sociedade Civil e Instituições Políticas no Brasil;9788550901053 ;L1
Sociedade civil e políticas públicas no Brasil: atores e instituições no Brasil contemporâneo;9878578971427 ;L2
SOUTH AMERICA AND PEACE OPERATIONS: COMING OF AGE;9780000000000 ;L4
Sugestões para o desenvolvimento urbano 2015. 1ed.Brasília - DF: Edições Câmara, 2015, v. 1, p. 175-199.;9790000000000 ;L1
Summits and Regional Governance. The Americas in Comparative Perspective;9781138831940 ;L3
Surmounting the middle trap: the main issues for Brazil;9790000000000 ;L4
Temas avançados de direito internacional e direitos humanos;9788562756535 ;L2
TEMAS DE DIREITO ELEITORAL;9790000000000 ;L1
Temas Interdisciplinares em Direito;9788555122323 ;L1
Tendências regulatórias nos acordos preferenciais de comércio no século XXI: os casos de Estados Unidos, União Europeia, China e Índia;9788578111694 ;L1
TEORIA CONSTITUCIONAL CRÍTICA DAS INSTITUIÇÕES DO SISTEMA DE JUSTIÇA;9788578625931 ;L1
Teoria da Justiça de John Rawls: tensão entre procedimentalismo puro (universalismo) e procedimentalismo perfeito (contextualismo);9788536249964 ;L2
Teoria das Relações Internacionais;9790000000000 ;L3
Teoria das relações internacionais o mapa do caminho estudo e prática;9788550800257 ;L3
Teoria das relações internacionais: As questões mundiais em debate;9790000000000 ;L3
Teoria de Relações Internacionais;9788559720839 ;L2
Teoría y práctica de la paradiplomacia;9790000000000 ;L4
Teorias Contemporâneas do Direito: O Direito e as Incertezas Normativas;9788536266145 ;L1
Teorias da Democracia e Direitos Políticos;9790000000000 ;L1
Teorias e práticas sociológicas;9788575490808 ;L2
Terra: qualidade de vida, segurança e mobilidade nas cidades;9788523706 ;L1
Terrorismo de Estado;9790000000000 ;L1
The BRICS and Coexistence An Alternative Vision of World Order;9780000000000 ;L4
The BRICS in International Development;9781137556455 ;L4
The Democratization of International Institutions.;9780000000000 ;L3
The Encyclopedia of Global Human Migration;9780000000000 ;L2
The enlarged European Union in a time of new challenges;978857501890X;L4
The Human Right to Citizenship A Slippery Concept;9780000000000 ;L3
The International Encyclopedia of Political Communication;9781118290750 ;L2
The International Encyclopedia of Political Communication;9780000000000 ;L2
"The Legitimacy of Regional Integration in Europe and the Americas - Achim Hurrelmann; Steffen Schneider";9780000000000 ;L3
The Metropolis of Rio de Janeiro: a space in transition;9790000000000 ;L4
The Oxford Handbook of U.N. Peacekeeping Operations;9780000000000 ;L3
The Palgrave Handbook of Critical International Political Economy;9781137500175 ;L3
The Palgrave Handbook of Disciplinary and Regional Approaches to Peace;9781137407597 ;L3
The Political economy of brazilian foreign policy;9790000000000 ;L4
THE POLITICAL SYSTEM OF BRAZIL;9783642400230 ;L3
The return of the public in Global Governance;1107052955 ;L3
TIC Governo Eletrônico 2015: Pesquisa sobre o uso das tecnologias de informação e comunicação no setor público brasileiro;9788555590252 ;L1
Título do livro: Religião e Relações Internacionais: dos debates teóricos ao papel do Cristianismo e do Islã;9788536258584 ;L1
Tópicos Essenciais sobre Gestão Pública;9788572851558 ;L1
Trabalho e Experiências Emancipatórias - economia solidária e construção de direitos com os trabalhadores e as populações tradicionais;9790000000000 ;L1
Trabalho, trajetórias e identidades: qualificação, deslocamentos e crises;9790000000000 ;L2
Trabalhos em Curso 1;9788593053016 ;L1
Traditionell Besetztes Land In Brasilien;9780000000000 ;L2
Tráfico de pessoas;9790000000000 ;L1
Tráfico de Pessoas: uma abordagem para os direitos humanos https://www.dropbox.com/s/xnibihwvqkvelaa/Cartilha_TSH.PDF;9790000000000 ;L1
Trajetórias das desigualdades - Como o Brasil mudou nos últimos cinquenta anos.1a ed.São Paulo;9790000000000 ;L2
Trilhas Pecorridas Por Uma Militante Quilombola: Vida, Luta e Resistência!;978859927439 ;L2
Um olhar territorial para o desenvolvimento: Amazônia;9790000000000 ;L2
Uma Avaliação da Economia Gaúcha no período 1960-1985.;9790000000000 ;L1
Uma introdução à teoria da democracia;9788559721928 ;L2
Uma parceria em construção: As relações entre França e Brasil, 1945-2000;9788580541 ;L4
Understanding Brazil-United States Relations - CONTEMPORARY HISTORY, CURRENT COMPLEXITIES AND PROSPECTS FOR TH 21ST CENTURY;E9788576314424;L2
Understanding Southern Social Movements;9781138898004 ;L3
Unexpected Outcomes: How Emerging Economies Survived the Global Financial Crisis;9780815724766 ;L3
União Europeia, Brasil e os Desafios da Agenda do Desenvolvimento Sustentável;9788575041970 ;L3
US NATIONAL SECURITY CONCERNS IN LATIN AMERICA AND THE CARIBBEAN;9780000000000 ;L3
V JUBRA: Territórios interculturais de juventude.;9780000000000 ;L3
Verfassungsevolution in der Weltgesellschaft: Differenzierungsprobleme des Rechts und der Politik im Zeitalter der Global Governance;9783832976 ;L3
Versões e Ponderações;9788584380275 ;L2
Violência e Armas de Fogo em Portugal;9789724065816 ;L3
VIOLÊNCIA NAS ESCOLAS: em busca de uma cultura da não violência;9790000000000 ;L1
Visões da América: A História dos EUA discutida por pesquisadores brasileiros;978858273 ;L1
Visões do Sul : crise e transformações do sistema internacional - vol. 02;9788579837937 ;L2
Visões do Sul: crise e transformações do Sistema Internacional. Volume 1.;9788579837906 ;L2
Vocações econômicas e formação técnica no estado de São Paulo;9790000000000 ;L1
Voto e estratégias de comunicação política na América Latina.;9790000000000 ;L3
Vozes do Bolsa Família;9790000000000 ;L4
Weapons in International Law: The Arms Trade Treaty;9780000000000 ;L2
X Conference of Forte de Copacabana International Security A Euopean-South American Dialogue - Brazil Emerging in the Global Security Order;9770000000000 ;NC
